Ponzi,39,ponzi,5,double,5,doubling,5,doubler,5,multiply,5,multiplying,5,multiplier,5,multipliers,5,hyip,3,revshare,1,invest,3,investment,3,investment plan,3,investing,1,MLM,5,multilayer,5,multi layer,1,pyramid,1,matrix,5,h/w,1,generator,2,collateral,1,hyip,1,daily,3,weekly,3,monthly,3,deposit,1,stable income,5,after 1 day,3,profit,3,1:10,1,10hrs,1,10x,1,100x,1,layer,1,level,1,earn,2,earning,2,earnings,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fake exchange,20,exchange,1,exchanges,1,login,1,SSL,1,phish,1,phishing,1,paypal,1,bitvestor,1,bitcoinpredict,1,bitfinex,1,btctrade,1,cryptoleaderexchange,1,advcircle.com,1,hyipcircle.com,1,btccircle.com,1,microjobcircle.com,1,criptocircle.com,1,cash out,1,get cash,3,sell your bitcoins,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fake wallet,3,deposit,1,etherwallet,3,accountviewer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fake mixing,3,mixing,5,mixer,5,mix,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fake mining,4,mining,5,miner,5,cloudmining,1,pool,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fake donation,11,donate,1,donation,1,covid-19,1,solidarity,1,philanthropy,1,medical,1,vaccine,1,poor,1,charity,1,coronavirus,1,philanthropies,1,pandemia,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ransomware,22,wannacry,2,bad rabbit,2,ryuk,2,troldesh,2,jigsaw,2,cryptolocker,2,petya,2,golden eye,2,grandcrab,2,encrypted ,1,antivirus,1,detect,1,wanacry,2,db,3,database,3,ransomware,2,ransom,1,logger,1,malware,1,download,1,client software,1,virus,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crypto logger,6,logger,1,crypto logger,1,malware,1,download,1,client software,1,virus,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black mail,65,blackmail,1,black mail,1,mail,1,email,1,emailed,2,letter,1,hi,1,hello,1,adult,1,child,2,videotape,2,sextape,5,sex,5,sexual,5,masturbating,5,stimolation,1,watch,1,visit,1,extortion,5,compromising,1,stolen,1,inappropriate,1,personally,1,blackmailer,3,sextortion,3,sexploition,5,steal,1,cam,2,camera,2,webcam,2,embarrassment,2,footage,2,record,1,investigation,1,secret,2,fair,1,images,2,social,1,contacts,1,victim,1,view,1,fbi,1,agent,1,incriminated,1,seen,1,displays,1,reasonable,1,wonder,1,incriminating,1,clips,2,threatening ,1,joke,1,forward,1,ashamed,1,threatens,1,recorded,1,watching,1,evidence,1,masturbatiоn,5,pornography,5,porno,5,history,1,recording,1,pédophile,5,disappear,1
Exit scam,1,exit,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Money laundering,1,laundering,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advance-fee scam,18,airdrop,1,bonus,1,promo,1,claim,1,xmas,1,elonmusk,2,musk,2,spacex,2,tesla,2,buterin,2,drop,1,promotion,1,reward,1,faucet,1,giveaway,2,give,1,away,1,gift,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptocurrency,16,ICO,5,white paper,5,road map,5,ERC-20 Contract,2,ERC-20 token,2,coin supply,2,max supply,5,total supply,5,total distribution,2,total tokens,5,total ICO distribution,5,available supply,5,reserve fund,2,ICO Bonus,5,bonus distribution,2,ICO price,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,